"Selon la stratégie proposée pour Colruyt, quelle est l'erreur à ne pas commettre pour un ciblage efficace ?",Il faut arrêter de viser “Colruyt” en bloc et plutôt choisir une porte d’entrée spécifique.
Quelle méthode en trois temps est recommandée pour structurer un plaidoyer efficace ?,La méthode 'Voir – Juger – Agir'.
"Dans la méthode 'Voir-Juger-Agir', à quelle étape utilise-t-on l' 'arbre à problèmes' ?","L'étape 'Voir', pour poser le constat de départ."
À quoi sert une analyse SWOT dans la phase 'Juger' d'un plaidoyer ?,"À évaluer les forces et faiblesses internes du groupe, ainsi que les opportunités et menaces externes."
L'analyse PESTEL est un outil stratégique qui examine quels six aspects de l'environnement d'un problème ?,"Politique, Économique, Social, Technologique, Écologique et Légal."
Qu'est-ce qu'un objectif SMART dans un plan d'action ?,"Un objectif Spécifique, Mesurable, Atteignable, Réaliste et Temporellement défini."
Terme : Power mapping (cartographie du pouvoir),Outil d'analyse qui positionne les acteurs clés selon leur niveau d'influence et leur degré de soutien/opposition à un projet.
Pourquoi le storytelling est-il une tactique de communication efficace en plaidoyer ?,"Il combine des faits rationnels et des histoires humaines émotionnelles, ce qui le rend plus persuasif."
Quel piège la désinformation peut-elle créer concernant les résultats d'une élection ?,"Le 'négationnisme électoral', qui conteste les résultats sur la base de fausses allégations."
Quelle est la meilleure parade contre la polarisation et les discours de haine en période électorale ?,"Cultiver un dialogue inclusif et une attitude respectueuse, même envers ses adversaires."
Quelle est la meilleure protection contre le découragement et l'échec pour un citoyen engagé ?,L'action collective et la construction d'un réseau solide pour éviter l'isolement.
Le burn-out militant est un risque majeur ; il est conseillé de voir l'engagement comme un _____ et non un sprint.,marathon
Qu'est-ce que le piège de l' 'illusion participative' ?,"Quand des institutions organisent une participation citoyenne symbolique, sans réel pouvoir de décision."
Terme : Convergence des luttes,Stratégie où plusieurs mouvements citoyens collaborent sur un front commun pour mutualiser leurs forces et leur visibilité.
"Quel est l'avantage de partager ses productions militantes (guides, argumentaires) en 'open source' ?","Cela permet à d'autres de les réutiliser et de les adapter, démultipliant ainsi l'impact de l'initiative initiale."
Le fait de documenter et mettre à disposition des outils citoyens pour tous s'appelle la création d'un '_____'.,commun citoyen
